Study_Hours,Attendance_Percentage,Assignment_Score,Quiz_Score,Project_Score,Midterm_Exam,Course_Work_Score,Final_Exam_Score,Status
8.9,74.1,55.8,48.5,56.2,63.5,53.8,69.1,Pass
6.1,57.8,45.8,44.0,39.8,32.4,42.9,44.9,Fail
5.8,70.7,64.3,43.5,47.8,40.6,51.5,42.1,Fail
5.8,74.5,57.4,56.5,49.1,62.3,53.8,66.4,Pass
15.4,59.8,68.0,55.6,80.0,60.8,69.1,69.8,Pass
10.3,85.0,72.2,52.0,61.6,74.4,61.9,69.5,Pass
4.9,71.5,50.5,50.6,44.7,43.4,48.2,39.2,Fail
9.1,78.6,55.4,77.1,58.3,77.6,63.1,70.2,Pass
7.7,61.1,40.9,68.3,60.5,42.1,57.0,46.6,Fail
1.5,68.1,51.3,41.9,49.1,37.6,47.6,24.6,Fail
3.3,71.2,30.2,36.9,45.0,17.9,38.1,32.7,Fail
8.0,64.4,43.3,43.9,44.1,54.5,43.8,64.8,Pass
14.6,83.8,78.4,64.6,77.3,63.1,73.8,68.4,Pass
5.8,65.9,51.2,28.6,57.8,44.8,47.1,50.8,Fail
4.7,60.7,59.3,46.7,59.2,36.7,55.5,32.9,Fail
7.1,66.9,49.1,59.2,38.8,70.0,48.0,59.0,Pass
4.5,66.7,55.2,40.4,44.8,41.2,46.6,44.1,Fail
5.5,64.2,48.8,62.0,51.0,64.2,53.6,59.7,Pass
6.6,61.6,56.1,69.5,61.3,42.9,62.2,37.9,Fail
3.2,67.0,47.9,46.8,37.6,12.8,43.4,25.2,Fail
10.6,77.2,68.4,51.6,58.6,71.7,59.4,61.7,Pass
2.8,64.5,46.7,29.6,41.9,28.3,39.7,36.7,Fail
2.6,50.2,42.6,40.2,30.1,45.6,36.9,39.6,Fail
7.5,64.3,45.6,57.1,39.6,52.5,46.6,51.8,Fail
10.2,65.5,60.7,47.9,75.7,65.3,62.9,60.5,Pass
7.4,82.7,64.4,41.5,59.8,65.5,55.7,64.4,Pass
6.2,68.4,52.5,30.3,48.7,69.0,44.3,43.6,Fail
5.5,64.4,49.5,33.8,42.1,56.0,41.8,48.0,Fail
5.0,61.5,33.4,37.6,45.9,46.4,39.7,50.2,Fail
12.0,73.4,78.3,69.6,65.3,76.8,70.5,59.6,Pass
8.1,75.7,48.0,46.6,63.7,64.5,53.9,54.3,Pass
5.2,51.6,40.9,11.7,37.2,44.2,30.7,36.6,Fail
4.3,67.0,42.4,35.3,47.8,62.6,42.4,43.6,Fail
9.5,67.4,61.6,49.8,59.9,56.9,57.4,71.1,Pass
11.8,77.6,69.6,57.2,72.4,69.9,67.0,51.3,Pass
11.2,79.8,71.6,36.3,67.3,60.4,59.3,60.3,Pass
3.8,59.0,50.9,35.0,49.9,65.6,45.7,49.9,Pass
5.5,55.6,61.5,52.9,51.6,42.9,55.0,47.5,Fail
4.9,63.4,46.4,37.4,54.5,48.2,46.9,51.1,Fail
5.9,77.4,48.4,41.3,59.0,43.5,50.5,34.0,Fail
10.6,79.4,63.1,51.2,64.8,61.7,60.2,72.5,Pass
13.9,73.7,61.1,65.4,81.6,82.6,70.6,85.8,Pass
8.3,64.9,53.3,35.8,52.6,52.6,47.8,46.0,Fail
4.4,60.8,34.6,29.7,55.8,52.8,41.6,35.4,Fail
6.5,57.4,43.5,53.7,56.8,56.3,51.9,38.6,Fail
15.3,84.6,62.5,75.8,80.8,80.3,73.8,63.1,Pass
7.0,76.1,66.5,44.5,59.2,46.8,57.0,64.8,Pass
5.5,63.5,50.9,47.4,46.1,50.2,47.9,45.2,Fail
5.8,63.0,65.5,35.2,54.9,49.6,52.2,30.8,Fail
8.2,64.3,64.6,40.7,59.5,54.0,55.4,34.3,Fail
3.9,61.1,55.8,30.3,47.4,43.8,44.8,30.5,Fail
4.8,59.9,46.5,26.4,51.8,36.3,42.6,34.0,Fail
11.1,72.1,67.8,56.6,72.5,71.0,66.3,71.8,Pass
8.1,76.0,51.8,69.7,53.7,63.8,57.9,65.6,Pass
7.1,74.0,52.1,31.1,52.6,46.2,46.0,50.8,Fail
11.5,67.1,63.2,72.2,55.9,61.8,63.0,63.6,Pass
4.2,66.3,34.4,16.4,49.7,41.5,35.1,41.4,Fail
5.4,71.6,48.2,49.3,63.8,45.7,54.8,54.0,Pass
8.0,62.1,61.0,31.4,47.4,44.8,46.7,49.0,Fail
7.8,70.5,52.8,54.4,52.2,65.4,53.0,60.3,Pass
